Timestamp,Text,ID
2020-11-02 23:26:08,b'Team Joe !!! Vote blue #BidenHarris #Biden2020 #BidenHarris2020 #BidenHarris2020ToSaveAmerica  ',1323406064654508032
2020-11-02 23:24:51,b'Fired up &amp; ready to roll.\n\n#kamalaharris2020 #kamalaharris #bidenharris2020 #biden #joebiden #biden2020 #politics #whitehouse #winwithblackwomen #womenempowerment #womeninspiringwomen https://t.co/D0S6r7d2p5',1323405743492661249
2020-11-02 23:24:50,b'How does Trump get away with saying make America great again when hes been the President for 4 years and now hes trying #VoterSuppression to win?!!! #Biden2020',1323405740686536704
2020-11-02 23:24:39,b"@realDonaldTrump Corona central! It's another death cult meeting. Another Trump rally another set of morgue visits. MAGA -- Making America Gaslight Again. #TrumpDeathCult #Biden2020",1323405692976451585
2020-11-02 23:22:16,b'@TheRobertW I cried most of the day after it was clear Hillary lost the electoral college. Thats why I am volunteering for Biden. Ive sent out 1200+ texts today. #GoJoe #Biden2020 #BidenHarris',1323405093778071553
2020-11-02 23:19:21,b"#WTDTodayElection2020 - Day 1 - What to do today #Election2020: https://t.co/QBKV8wbbaF including 1.) 97_665_370 ballots cast 2.) We won't know full result tomorrow_ that's *NORMAL* 3.) 5:30pm CT @crookedmedia goes live4.) Many forecast #Biden2020 win but still  chance for Trump https://t.co/E4spDuCANl",1323404356943859712
2020-11-02 23:15:19,b"@gabriellaborter @ByTimReid @michaelvmartina @Reuters If a person can vote for someone like Trump I know their heart. I can't abide someone so blind who would vote for a man who hates so many. They are not victims here. They have chosen hatred over humanity. I don't need that person in my world. #Biden2020",1323403342178099206
2020-11-02 23:14:47,b'Dont forget to vote #Biden2020 VOTE JOE. if you vote trump you are a evil piece of garbage or in other words shit and a Completely uneducated racist homophobic person the list doesnt end. Pure evil',1323403209659002883
2020-11-02 23:13:43,b'#Biden2020 \nImagine what life will be like when #JoeBiden is our president.\nImagine waking and not being hit with #Trumps newest attacks on Twitter_ the newest death tolls (240K) from incompetent handling of the #CoronaVirus_ or violent actions incited by his rants\nNO MORE https://t.co/cQeBMTAXE8',1323402943010320386
2020-11-02 23:08:58,b"Kamala ADMITS She's A COMMUNIST 2 Days Out From ELECTION?!?! What A SNAK... https://t.co/CNV455aUzC via @YouTube #Trump2020 #BidenHarris2020 #Biden2020 #Trump2020LandslideVictory",1323401746513825797
2020-11-02 23:07:40,b'30000 cases of COVID and 700 COVID deaths linked to Trump Rallies.  #besmarter #biden2020 https://t.co/IbUH47YQi7',1323401417244160000
2020-11-02 23:04:04,b"Joe Biden says he will make weapon manufacturers responsible for gun crime.\n\nDoes that mean I can sue James Dyson for the time I got my knob stuck in a vacuum cleaner?\n\nI'm voting for Joe! you should_ too! #biden2020",1323400513942130688
2020-11-02 22:58:53,b'If Joe Biden wins_ Anarchists will ban the coal industry.\n\n#Biden2020 https://t.co/QEi6SWtGkO',1323399209178058753
2020-11-02 22:58:35,b"@american2084 Yes_ it is. I have never felt like this before. The importance of getting rid of Trump cannot be over emphasized. I don't hate people_ but #IHateDonaldTrump #TrumpIsTheWORSTPresidentEVER  #Biden2020",1323399132568903680
2020-11-02 22:57:25,b'@MichelleWhitzel @realDonaldTrump Did MY part to make American Great Again!! By voting for Biden!! #MAGA #Biden2020',1323398839617744897
2020-11-02 22:55:48,b'@MarkMeadows @realDonaldTrump Trump is really bad at his job. He needs to be sent home after his employment review. #Biden2020',1323398433051389954
2020-11-02 22:53:48,b'@gaurajb1 @AJDelgado13 Now do Trump_ the racist sexual assaulter who is also a crook. \n\nBut_ nice try. #Hypocrite\n\n#BidenLandslide #Biden2020 #BidenHarris2020',1323397929495719937
